name,ingredients,instructions,cuisine,course,diet,prep_time,cook_time
Aloo Gobi,"potato, cauliflower, onion, tomato, turmeric, cumin, coriander, ginger, garlic, green chilli","Heat oil, add cumin. Add onions, ginger, garlic. Add tomatoes. Add potatoes and cauliflower. Add spices. Cook until tender.",North Indian,Main Course,Vegetarian,15,30
Dal Tadka,"toor dal, onion, tomato, turmeric, cumin, mustard seeds, curry leaves, ghee, red chilli, ginger, garlic","Cook dal. Heat ghee, add mustard, cumin. Add onions, ginger, garlic. Add tomatoes and spices. Pour over dal.",North Indian,Main Course,Vegetarian,10,25
Paneer Butter Masala,"paneer, butter, cream, tomato, onion, cashew, ginger, garlic, garam masala, kasuri methi, red chilli",Make tomato gravy. Add cream and butter. Add paneer cubes. Garnish with kasuri methi.,North Indian,Main Course,Vegetarian,20,30
Chicken Biryani,"chicken, basmati rice, onion, yogurt, tomato, ginger garlic paste, biryani masala, saffron, ghee, mint, coriander",Marinate chicken. Cook rice. Layer rice and chicken. Dum cook.,Hyderabadi,Main Course,Non-Vegetarian,30,45
Masala Dosa,"dosa batter, potato, onion, mustard seeds, curry leaves, turmeric, green chilli, urad dal, chana dal",Make potato filling. Spread dosa batter on tawa. Add filling. Fold and serve.,South Indian,Breakfast,Vegetarian,15,20
Palak Paneer,"palak, paneer, onion, tomato, cream, ginger, garlic, cumin, garam masala, kasuri methi",Blanch spinach. Make puree. Cook onion-tomato base. Add spinach and paneer.,North Indian,Main Course,Vegetarian,15,25
Chole Bhature,"chickpeas, onion, tomato, ginger, garlic, chole masala, tea bags, flour, yogurt, baking soda",Cook chickpeas with spices. Make bhature dough. Deep fry bhature. Serve together.,Punjabi,Main Course,Vegetarian,30,40
Rajma Chawal,"kidney beans, basmati rice, onion, tomato, ginger, garlic, cumin, coriander, red chilli, garam masala",Soak and cook rajma. Make gravy. Cook rice separately. Serve together.,North Indian,Main Course,Vegetarian,20,35
Sambar,"toor dal, drumstick, carrot, brinjal, tamarind, sambar powder, mustard seeds, curry leaves, asafoetida",Cook dal and vegetables. Add tamarind. Add sambar powder. Temper with mustard and curry leaves.,South Indian,Side Dish,Vegetarian,15,30
Butter Chicken,"chicken, butter, cream, tomato, onion, cashew, ginger garlic paste, garam masala, kasuri methi, red chilli",Marinate and grill chicken. Make tomato gravy. Add butter and cream. Add chicken pieces.,Punjabi,Main Course,Non-Vegetarian,25,35
